CustomerName,InvoiceNumber,InvoiceDate,CustomerPoNumber,BillTotal,Applied,Status,Currency,ContactName,ContactPhone,ContactEmail,CustomerTerms,DueDate
LifeSpring Medical,DF2024488,11/19/24,PO-000081,1150,1150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,12/19/24 00:00
LifeSpring Medical,DF2024774,11/18/24,PO-000082,1150,1150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,12/18/24 00:00
LifeSpring Medical,DF2025208,11/26/24,PO-000083,1150,1150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,12/26/24 00:00
LifeSpring Medical,DF2025807,12/16/24,PO-000084,1150,1150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,1/15/25 00:00
LifeSpring Medical,DF2026289,1/22/25,PO-000085,1150,624.97,Pending,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,2/21/25 00:00
LifeSpring Medical,DF2026719,1/22/25,PO-000086,1150,1150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,2/21/25 00:00
LifeSpring Medical,DF2027039,2/6/25,PO-000087,1150,1055.66,Pending,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,3/8/25 00:00
LifeSpring Medical,DF2027330,2/17/25,PO-000088,1150,1150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,3/19/25 00:00
LifeSpring Medical,DF2028174,3/19/25,PO-000089,1150,1150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,4/18/25 00:00
LifeSpring Medical,DF2028607,4/2/25,PO-000090,5400,5400,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,5/2/25 00:00
LifeSpring Medical,DF2029620,5/13/25,PO-000091,1150,1150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,6/12/25 00:00
LifeSpring Medical,DF2030603,6/12/25,PO-000092,1150,1150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,7/12/25 00:00
LifeSpring Medical,DF2031473,7/17/25,PO-000093,1350,1350,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,8/16/25 00:00
LifeSpring Medical,DF2032351,8/14/25,PO-000094,4300,4300,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,9/13/25 00:00
LifeSpring Medical,DF2032496,8/25/25,PO-000095,1350,1047.32,Pending,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,9/24/25 00:00
LifeSpring Medical,DF2033099,9/9/25,PO-000096,1350,930.32,Pending,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,10/9/25 00:00
Skyline Properties,DF2021938,8/20/24,PO-000097,4250,4250,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,9/19/24 00:00
Skyline Properties,DF2021987,8/26/24,PO-000098,6000,6000,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,9/25/24 00:00
Skyline Properties,DF2022112,8/26/24,PO-000099,2100,2100,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,9/25/24 00:00
Skyline Properties,DF2022165,8/26/24,PO-000100,2100,2100,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,9/25/24 00:00
Skyline Properties,DF2022454,9/5/24,PO-000101,2000,2000,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,10/5/24 00:00
Skyline Properties,DF2022476,8/30/24,PO-000102,3200,3200,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,9/29/24 00:00
Skyline Properties,DF2022573,8/30/24,PO-000103,2100,2100,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,9/29/24 00:00
Skyline Properties,DF2022588,9/3/24,PO-000104,4500,4500,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,10/3/24 00:00
Skyline Properties,DF2022680,9/4/24,PO-000105,2000,2000,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,10/4/24 00:00
Skyline Properties,DF2022809,9/4/24,PO-000106,1825,1825,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,10/4/24 00:00
Skyline Properties,DF2022812,9/11/24,PO-000107,6000,6000,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,10/11/24 00:00
Skyline Properties,DF2022923,9/9/24,PO-000108,2100,2100,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,10/9/24 00:00
Skyline Properties,DF2022997,9/11/24,PO-000109,2000,2000,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,10/11/24 00:00
Skyline Properties,DF2023024,9/19/24,PO-000110,2100,2100,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,10/19/24 00:00
Skyline Properties,DF2023026,9/23/24,PO-000111,7300,7300,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,10/23/24 00:00
Skyline Properties,DF2023027,10/1/24,PO-000112,3900,3900,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,10/31/24 00:00
Skyline Properties,DF2023396,10/4/24,PO-000113,7850,7850,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,11/3/24 00:00
Skyline Properties,DF2023532,9/30/24,PO-000114,5300,5300,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,10/30/24 00:00
Skyline Properties,DF2023533,10/1/24,PO-000115,2500,2500,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,10/31/24 00:00
Skyline Properties,DF2023629,10/4/24,PO-000116,4000,4000,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,11/3/24 00:00
Skyline Properties,DF2023630,10/4/24,PO-000117,3000,3000,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,11/3/24 00:00
Skyline Properties,DF2023656,10/4/24,PO-000118,1400,1400,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,11/3/24 00:00
Skyline Properties,DF2023657,10/1/24,PO-000119,1400,1400,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,10/31/24 00:00
Skyline Properties,DF2023707,10/4/24,PO-000120,3300,3300,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,11/3/24 00:00
Skyline Properties,DF2023708,10/4/24,PO-000121,4900,4900,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,11/3/24 00:00
Skyline Properties,DF2023724,10/10/24,PO-000122,1300,1300,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,11/9/24 00:00
Skyline Properties,DF2023725,10/4/24,PO-000123,2400,2400,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,11/3/24 00:00
Skyline Properties,DF2023792,10/4/24,PO-000124,4000,4000,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,11/3/24 00:00
Skyline Properties,DF2024027,10/16/24,PO-000125,4000,4000,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,11/15/24 00:00
Skyline Properties,DF2024256,10/22/24,PO-000126,3600,3600,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,11/21/24 00:00
Skyline Properties,DF2024257,10/24/24,PO-000127,6500,6500,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,11/23/24 00:00
Skyline Properties,DF2024280,10/30/24,PO-000128,6000,6000,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,11/29/24 00:00
Skyline Properties,DF2024623,11/5/24,PO-000129,6250,6250,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,12/5/24 00:00
Skyline Properties,DF2024678,11/7/24,PO-000130,3500,3500,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,12/7/24 00:00
Skyline Properties,DF2024686,11/18/24,PO-000131,3500,3500,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,12/18/24 00:00
Skyline Properties,DF2024919,11/13/24,PO-000132,1600,1600,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,12/13/24 00:00
Skyline Properties,DF2024984,11/27/24,PO-000133,9800,9800,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,12/27/24 00:00
Skyline Properties,DF2024985,11/21/24,PO-000134,1800,1800,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,12/21/24 00:00
Skyline Properties,DF2024986,12/26/24,PO-000135,2000,2000,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,1/25/25 00:00
Skyline Properties,DF2025071,11/19/24,PO-000136,1800,1800,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,12/19/24 00:00
Skyline Properties,DF2025083,11/21/24,PO-000137,3000,3000,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,12/21/24 00:00
Skyline Properties,DF2025085,11/26/24,PO-000138,6000,6000,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,12/26/24 00:00
Skyline Properties,DF2025392,12/6/24,PO-000139,7400,7400,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,1/5/25 00:00
Skyline Properties,DF2025428,12/3/24,PO-000140,3000,3000,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,1/2/25 00:00
Skyline Properties,DF2025507,12/9/24,PO-000141,1900,1900,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,1/8/25 00:00
Skyline Properties,DF2025509,12/6/24,PO-000142,3200,3200,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,1/5/25 00:00
Skyline Properties,DF2025664,12/12/24,PO-000143,3200,3200,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,1/11/25 00:00
Skyline Properties,DF2025668,12/16/24,PO-000144,5000,5000,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,1/15/25 00:00
Skyline Properties,DF2026454,1/14/25,PO-000145,1600,1600,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,2/13/25 00:00
Skyline Properties,DF2026455,1/20/25,PO-000146,3800,3800,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,2/19/25 00:00
Skyline Properties,DF2026456,1/27/25,PO-000147,3400,3400,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,2/26/25 00:00
Skyline Properties,DF2026536,1/16/25,PO-000148,3200,3200,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,2/15/25 00:00
Skyline Properties,DF2026798,1/28/25,PO-000149,1700,1700,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,2/27/25 00:00
Skyline Properties,DF2026818,1/28/25,PO-000150,2000,2000,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,2/27/25 00:00
Skyline Properties,DF2027030,2/3/25,PO-000151,1700,1700,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,3/5/25 00:00
Skyline Properties,DF2027261,2/12/25,PO-000152,3800,3800,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,3/14/25 00:00
Skyline Properties,DF2027262,2/19/25,PO-000153,3800,3800,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,3/21/25 00:00
Skyline Properties,DF2027557,2/27/25,PO-000154,1600,1600,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,3/29/25 00:00
Skyline Properties,DF2027558,3/4/25,PO-000155,1600,1600,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,4/3/25 00:00
Skyline Properties,DF2028748,4/10/25,PO-000156,3450,3450,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,5/10/25 00:00
Skyline Properties,DF2028921,4/23/25,PO-000157,8800,8800,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,5/23/25 00:00
Skyline Properties,DF2028950,4/21/25,PO-000158,7500,7500,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,5/21/25 00:00
Skyline Properties,DF2029419,4/30/25,PO-000159,1600,1600,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,5/30/25 00:00
Skyline Properties,DF2029490,5/15/25,PO-000160,2000,2000,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,6/14/25 00:00
Skyline Properties,DF2029621,5/8/25,PO-000161,550,550,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,6/7/25 00:00
Skyline Properties,DF2029739,5/27/25,PO-000162,9800,9800,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,6/26/25 00:00
Skyline Properties,DF2030068,5/27/25,PO-000163,8500,8500,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,6/26/25 00:00
Skyline Properties,DF2030069,5/21/25,PO-000164,1750,1750,Closed,USD,Angela Scott,555-513-2964,angela@skylineproperties.com,Net 30,6/20/25 00:00
